batch_size,input_length,max_new_tokens,avg_latency_ms,std_latency_ms,avg_tokens_per_second,std_tokens_per_second
1,64,32,180.76,1.52,177.04,1.48
1,64,64,356.08,0.55,179.73,0.28
1,64,128,713.05,1.66,179.51,0.42
2,64,32,193.24,1.25,331.2,2.15
2,64,64,375.64,2.9,340.77,2.64
2,64,128,749.16,1.68,341.72,0.77
4,64,32,197.54,5.96,648.54,19.15
4,64,64,380.14,0.65,673.44,1.15
4,64,128,754.64,5.32,678.5,4.77
8,64,32,196.44,1.61,1303.28,10.74
8,64,64,385.11,2.91,1329.56,9.99
8,64,128,765.36,2.86,1337.95,5.0
16,64,32,200.71,1.09,2550.97,13.76
16,64,64,394.72,1.2,2594.24,7.9
16,64,128,783.05,1.77,2615.44,5.91
