batch_size,input_length,max_new_tokens,avg_latency_ms,std_latency_ms,avg_tokens_per_second,std_tokens_per_second
1,64,32,185.84,2.52,172.22,2.32
1,64,64,369.02,3.38,173.45,1.58
1,64,128,730.26,2.31,175.28,0.56
2,64,32,195.6,2.06,327.23,3.47
2,64,64,383.6,1.74,333.69,1.51
2,64,128,765.74,5.83,334.34,2.56
4,64,32,199.2,0.42,642.58,1.36
4,64,64,390.71,0.32,655.22,0.53
4,64,128,791.3,4.88,647.06,3.98
8,64,32,215.07,3.13,1190.56,17.35
8,64,64,407.97,0.41,1254.99,1.26
8,64,128,805.44,3.34,1271.38,5.26
16,64,32,236.31,0.07,2166.63,0.67
16,64,64,442.39,0.57,2314.72,3.0
16,64,128,861.03,1.94,2378.55,5.36
