batch_size,input_length,max_new_tokens,avg_latency_ms,std_latency_ms,avg_tokens_per_second,std_tokens_per_second
1,64,32,106.0,0.22,301.89,0.61
1,64,64,213.81,0.74,299.33,1.04
1,64,128,420.28,1.09,304.56,0.79
2,64,32,114.17,0.99,560.63,4.84
2,64,64,223.51,0.74,572.7,1.9
2,64,128,441.94,0.36,579.27,0.47
4,64,32,115.59,0.21,1107.33,1.99
4,64,64,230.41,2.33,1111.16,11.3
4,64,128,449.18,0.8,1139.85,2.02
8,64,32,116.26,0.34,2201.91,6.35
8,64,64,228.26,2.45,2243.31,23.92
8,64,128,451.55,3.33,2267.87,16.66
16,64,32,117.78,1.95,4348.43,71.19
16,64,64,232.07,2.82,4413.13,53.61
16,64,128,464.6,1.22,4408.11,11.6
