batch_size,input_length,max_new_tokens,avg_latency_ms,std_latency_ms,avg_tokens_per_second,std_tokens_per_second
1,128,128,703.13,17.25,182.15,4.39
1,128,256,1404.24,10.36,182.31,1.35
1,128,512,2774.1,22.0,184.58,1.46
1,128,1024,2923.63,7.69,186.76,0.49
2,128,128,732.92,3.11,349.3,1.48
2,128,256,1463.18,9.56,349.94,2.28
2,128,512,2902.9,17.29,352.76,2.09
2,128,1024,5755.71,30.8,338.97,10.06
4,128,128,715.98,0.51,715.11,0.51
4,128,256,1443.65,1.51,709.32,0.74
4,128,512,2893.23,5.13,707.86,1.26
4,128,1024,5868.93,7.73,673.21,0.89
8,128,128,725.03,0.86,1412.35,1.68
8,128,256,1473.3,1.73,1390.08,1.63
8,128,512,3030.46,37.7,1351.82,16.68
8,128,1024,6159.34,62.27,1302.22,13.15
16,128,128,777.0,13.49,2636.59,46.3
16,128,256,1560.73,13.0,2624.59,21.96
16,128,512,3150.02,14.51,2600.68,11.95
16,128,1024,6482.59,47.83,2451.16,18.01
32,128,128,818.56,1.69,5003.93,10.37
32,128,256,1687.56,5.9,4854.4,16.93
32,128,512,3473.22,30.63,4708.39,41.61
32,128,1024,7504.07,122.83,4295.34,69.85
64,128,128,925.76,13.15,8850.7,124.49
64,128,256,1948.29,3.18,8409.44,13.7
64,128,512,4080.86,7.21,8021.86,14.19
64,128,1024,8973.13,68.95,7243.38,55.8
128,128,128,1095.35,12.78,14959.85,174.93
128,128,256,2282.32,16.1,14358.05,101.76
128,128,512,4797.22,3.61,13661.25,10.27
128,128,1024,11278.23,71.34,11583.39,73.03
