batch_size,input_length,max_new_tokens,avg_latency_ms,std_latency_ms,avg_tokens_per_second,std_tokens_per_second
1,128,128,335.5,2.26,381.54,2.57
1,128,256,654.85,4.64,390.95,2.76
1,128,512,1332.55,0.63,384.22,0.18
1,128,1024,2649.38,1.46,386.51,0.21
2,128,128,335.46,0.33,763.14,0.76
2,128,256,709.4,32.34,723.19,31.94
2,128,512,1418.12,24.22,722.29,12.2
2,128,1024,2859.37,24.27,716.29,6.11
4,128,128,349.98,6.55,1463.45,27.56
4,128,256,714.55,6.53,1433.18,13.04
4,128,512,1424.76,12.01,1437.53,12.05
4,128,1024,2928.78,16.59,1398.58,7.95
8,128,128,347.88,2.9,2943.74,24.51
8,128,256,719.63,3.16,2845.98,12.47
8,128,512,1486.35,8.32,2755.84,15.39
8,128,1024,3086.71,8.62,2653.98,7.42
16,128,128,371.83,3.01,5508.24,44.53
16,128,256,769.77,3.38,5321.14,23.3
16,128,512,1623.22,32.38,5048.73,99.54
16,128,1024,3316.09,12.91,4940.83,19.19
32,128,128,463.78,5.91,8833.23,111.61
32,128,256,982.58,31.73,8345.82,266.87
32,128,512,2003.79,6.61,8176.59,26.97
32,128,1024,4514.91,26.13,7257.97,42.01
64,128,128,572.64,1.36,14305.85,33.89
64,128,256,1204.46,5.87,13603.1,66.37
64,128,512,2618.24,58.5,12521.47,277.13
64,128,1024,6151.85,100.86,10655.95,176.49
128,128,128,927.45,5.34,17666.29,101.48
128,128,256,1958.19,1.86,16733.85,15.91
128,128,512,4262.75,10.59,15374.22,38.14
128,128,1024,9853.91,8.22,13301.53,11.09
