batch_size,input_length,max_new_tokens,avg_latency_ms,std_latency_ms,avg_tokens_per_second,std_tokens_per_second,memory_usage_mb,cuda_max_memory_allocated_mb
1,64,64,450.51,5.73,142.08,1.81,1423.32,2110.76
1,64,128,890.09,1.43,143.81,0.23,1423.54,2112.05
1,64,256,1818.07,30.11,140.85,2.31,1433.57,2115.82
1,64,512,3573.42,0.86,140.48,0.03,1434.23,2123.65
2,64,64,497.16,0.35,257.46,0.18,1455.25,2116.09
2,64,128,1007.16,0.71,254.18,0.18,1455.69,2117.79
2,64,256,2056.14,0.48,249.01,0.06,1455.69,2125.31
2,64,512,4175.85,0.81,240.43,0.05,1455.69,2140.41
4,64,64,506.67,0.69,505.26,0.69,1455.69,2124.5
4,64,128,1034.33,0.41,495.01,0.2,1455.69,2129.28
4,64,256,2134.22,0.49,479.8,0.11,1455.69,2145.2
4,64,512,4467.34,0.52,449.48,0.05,1455.69,2179.5
8,64,64,542.57,1.33,943.66,2.32,1455.69,2143.83
8,64,128,1119.82,1.03,914.44,0.84,1455.69,2152.31
8,64,256,2361.88,1.31,867.11,0.48,1455.91,2183.24
8,64,512,5052.92,1.81,794.79,0.28,1456.12,2241.47
16,64,64,619.79,0.38,1652.17,1.0,1456.12,2180.6
16,64,128,1292.45,1.15,1584.58,1.41,1456.12,2202.93
16,64,256,2754.87,0.57,1486.82,0.31,1456.34,2259.8
16,64,512,6175.22,1.71,1300.68,0.36,1456.34,2377.43
