batch_size,input_length,max_new_tokens,avg_latency_ms,std_latency_ms,avg_tokens_per_second,std_tokens_per_second
1,128,128,330.49,2.03,387.32,2.38
1,128,256,641.29,0.53,399.19,0.33
1,128,512,1299.06,8.11,394.15,2.45
1,128,1024,2615.3,6.57,391.54,0.98
2,128,128,332.15,0.1,770.73,0.23
2,128,256,673.78,1.14,759.89,1.28
2,128,512,1359.27,0.35,753.34,0.2
2,128,1024,2752.44,3.04,744.07,0.82
4,128,128,338.02,1.13,1514.7,5.05
4,128,256,680.47,0.53,1504.83,1.18
4,128,512,1391.73,14.35,1471.7,15.07
4,128,1024,2853.76,22.24,1435.38,11.14
8,128,128,346.03,1.13,2959.32,9.66
8,128,256,718.59,4.97,2850.17,19.64
8,128,512,1457.81,8.99,2809.8,17.38
8,128,1024,3032.72,16.46,2701.28,14.69
16,128,128,365.51,0.4,5603.18,6.2
16,128,256,748.67,4.62,5471.27,33.92
16,128,512,1553.15,4.94,5274.5,16.76
16,128,1024,3300.61,12.9,4964.0,19.36
32,128,128,470.9,2.56,8698.48,47.46
32,128,256,955.01,11.34,8579.11,101.86
32,128,512,1987.35,15.59,8244.63,64.53
32,128,1024,4509.86,13.1,7265.92,21.14
64,128,128,569.13,1.28,14393.88,32.36
64,128,256,1169.5,5.11,14009.69,61.01
64,128,512,2512.56,4.12,13041.73,21.4
64,128,1024,5974.72,17.17,10968.98,31.57
128,128,128,865.74,0.49,18924.94,10.78
128,128,256,1812.76,2.02,18076.29,20.17
128,128,512,4021.24,6.91,16297.51,28.0
128,128,1024,9926.59,61.1,13204.63,81.51
