batch_size,input_length,max_new_tokens,avg_latency_ms,std_latency_ms,avg_tokens_per_second,std_tokens_per_second
1,128,512,2730.43,5.04,187.52,0.35
1,256,512,2797.3,34.24,183.06,2.26
1,512,512,2848.46,31.06,179.77,1.96
1,1024,512,2793.84,20.52,183.27,1.35
2,128,512,2931.62,20.61,349.31,2.45
2,256,512,2989.35,24.63,342.57,2.82
2,512,512,2975.36,31.12,344.2,3.57
2,1024,512,2959.4,30.27,346.05,3.55
4,128,512,2946.89,8.38,694.98,1.97
4,256,512,2995.39,14.84,683.73,3.4
4,512,512,2970.39,8.52,689.48,1.98
4,1024,512,3021.71,11.45,677.77,2.57
8,128,512,2995.59,3.82,1367.34,1.74
8,256,512,3041.33,8.88,1346.79,3.93
8,512,512,3064.32,6.21,1336.68,2.71
8,1024,512,3112.64,2.25,1315.92,0.95
16,128,512,3095.21,2.17,2646.67,1.85
16,256,512,3213.09,12.31,2549.6,9.78
16,512,512,3300.36,10.34,2482.18,7.78
16,1024,512,3359.16,52.1,2439.29,37.43
32,128,512,3470.59,35.38,4712.09,48.38
32,256,512,3539.32,12.1,4629.19,15.8
32,512,512,3601.71,20.14,4549.09,25.38
32,1024,512,3700.66,8.26,4427.34,9.9
64,128,512,3912.68,11.47,8366.72,24.51
64,256,512,4032.83,28.56,8125.71,57.37
64,512,512,4048.51,40.47,8094.64,80.38
64,1024,512,4192.3,8.72,7816.27,16.24
128,128,512,4818.61,24.46,13600.94,68.82
128,256,512,5007.8,24.73,13087.11,64.86
128,512,512,5176.71,76.74,12662.53,186.02
128,1024,512,5351.37,12.0,12246.64,27.44
