concurrency,batch_size,max_tokens,total_requests,avg_latency_ms,std_latency_ms,p90_latency_ms,p99_latency_ms,throughput_tps,input_length
1,1,512,10,1419.23,42.22,1450.77,1513.94,3607.54,128
2,1,512,10,2621.47,416.98,2782.82,2795.33,3712.16,128
4,1,512,10,5150.50,1541.16,5874.50,8110.01,3678.14,128
8,1,512,10,8049.70,3781.80,13029.96,14139.14,3589.77,128
1,4,512,10,1458.03,24.04,1491.89,1505.27,14046.12,128
2,4,512,10,2784.55,424.57,2991.50,3015.72,13955.00,128
4,4,512,10,5265.82,1180.32,5891.42,5891.50,13980.86,128
8,4,512,10,8342.06,3953.20,13567.91,14766.55,13744.75,128
1,8,512,10,1558.56,31.07,1597.49,1605.97,26280.28,128
2,8,512,10,3133.26,493.88,3361.42,3381.63,24887.65,128
4,8,512,10,5598.67,1215.11,6348.85,6349.00,26261.96,128
8,8,512,10,8470.49,4013.75,13762.39,14981.36,27095.06,128
