concurrency,batch_size,max_tokens,total_requests,avg_latency_ms,std_latency_ms,p90_latency_ms,p99_latency_ms,throughput_tps,input_length
1,1,512,10,1388.67,31.52,1419.60,1454.24,368.69,128
2,1,512,10,2614.27,418.31,2784.47,2804.24,371.96,128
4,1,512,10,5087.15,1505.37,5797.21,8053.43,372.66,128
8,1,512,10,7718.59,3655.78,12514.13,13676.41,370.86,128
1,2,512,10,1426.71,13.73,1447.20,1452.62,717.72,128
2,2,512,10,2703.86,429.83,2870.76,2872.65,719.28,128
4,2,512,10,4999.30,1470.45,5734.18,5734.36,717.57,128
8,2,512,10,7856.77,3945.17,12998.89,14156.07,716.83,128
1,4,512,10,1454.39,11.31,1472.09,1475.88,1408.13,128
2,4,512,10,2753.80,436.99,2938.04,2966.31,1413.71,128
4,4,512,10,5214.30,1164.05,5838.18,5838.26,1411.60,128
8,4,512,10,8233.11,3926.58,13419.28,14594.44,1390.80,128
1,8,512,10,1532.44,15.48,1560.43,1563.34,2672.82,128
2,8,512,10,2866.71,454.04,3028.52,3029.53,2714.99,128
4,8,512,10,5470.86,1202.68,6119.28,6119.41,2696.96,128
8,8,512,10,8484.89,4021.49,13791.86,15024.22,2701.55,128
