batch_size,max_new_tokens,avg_latency_ms,std_latency_ms,avg_tokens_per_second,std_tokens_per_second
1,32,106.17,0.08,301.39,0.24
1,64,211.6,0.47,302.46,0.68
1,128,422.98,2.68,302.63,1.91
2,32,112.38,1.33,569.59,6.72
2,64,221.23,2.0,578.64,5.2
2,128,456.17,10.99,561.51,13.38
4,32,119.36,0.92,1072.43,8.3
4,64,242.51,11.92,1058.08,50.3
4,128,463.5,4.04,1104.73,9.67
8,32,118.83,0.97,2154.44,17.44
8,64,231.03,3.02,2216.49,28.75
8,128,452.27,1.06,2264.14,5.31
16,32,121.28,0.24,4221.66,8.51
16,64,234.81,2.16,4361.36,40.37
16,128,470.62,0.79,4351.76,7.28
